,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR961705,0.007930577,0.00088974833,0.0007558465,0.0026796162,0.9877442
SRR5609947,0.0073314905,0.0007032752,0.00075122714,0.0027609468,0.98845303
SRR6264457,0.0076779723,0.00080761313,0.0007607341,0.0027355254,0.98801816
SRR5429194,0.0030780733,0.001023382,0.08244687,0.04441443,0.8690373
SRR6331112,0.008733869,0.0057088137,0.0017109513,0.0037887096,0.98005766
SRR5203139,0.0071264505,0.0007945001,0.000874877,0.00293535,0.98826885
SRR1687458,0.85513985,0.13676393,0.0036876784,0.004408537,0.0
SRR5091562,0.11152488,0.0010046363,0.0005339086,0.007712692,0.8792239
SRR6264171,0.0073207915,0.0006991625,0.0007510185,0.0027626157,0.9884664
SRR5758129,0.5662415,0.0020386279,0.003986627,0.09333354,0.33439976
SRR3400435,0.9598887,0.013659656,0.000679791,0.008969456,0.01680243
SRR5757983,0.026446948,0.00019719884,0.022878034,0.95047784,0.0
SRR5757782,0.026618559,0.00018960166,0.021842293,0.95134956,0.0
SRR5813233,0.007472843,0.00075379014,0.00075525045,0.0027406216,0.9882775
SRR7507543,0.9012711,0.023325682,0.0011744201,0.0075761974,0.06665254
SRR961733,0.0085069835,0.0009083152,0.00081399083,0.00293234,0.98683834
SRR5983436,0.287745,0.00038811564,0.00045749545,0.027424008,0.68398535
SRR5079173,0.009784579,0.0017821193,0.0012553036,0.0028529465,0.98432505
SRR5202875,0.007020861,0.00075647235,0.0008544922,0.0029601753,0.98840797
SRR5983378,0.21529675,0.012502879,0.0015438199,0.00243181,0.7682247
SRR5602199,0.018912584,0.018490046,0.012037635,0.0018145144,0.94874525
SRR5203231,0.013298094,0.0018029213,0.0011147559,0.0034824908,0.98030174
SRR1763575,0.94636035,0.026251197,0.0010108054,0.00792858,0.018449068
SRR6330923,0.0030349195,0.0057809353,0.0023726225,0.016303122,0.97250843
SRR961701,0.008688748,0.0010461509,0.0007644892,0.0026290417,0.9868716
SRR6264409,0.020933002,0.00067305565,0.00051015615,0.005074352,0.97280943
SRR6182300,0.011389524,0.002347976,0.0011995435,0.0023995042,0.98266345
ERR209140,0.014032036,0.0011927783,0.0007649362,0.003133893,0.9808763
SRR5580538,0.66900706,0.0070481896,0.0028884113,0.013976693,0.30707967
SRR6264206,0.0076321065,0.00079393387,0.0007509887,0.002724439,0.9880985
SRR6724380,0.020308461,0.9112504,0.054656547,0.013784543,0.0
SRR1690153,0.7851051,0.011056632,0.0012432039,0.006950468,0.1956445
SRR1765915,0.30205798,0.000372231,0.0005608797,0.14589244,0.55111647
SRR6264229,0.023857325,0.00027617812,0.026201576,0.8403181,0.10934687
SRR6424744,0.026584355,0.00018997841,0.021829523,0.9513961,0.0
ERR209529,0.008647144,0.0012524128,0.000849843,0.0026696324,0.98658097
SRR5758132,0.0724732,4.0369097e-05,0.038073868,0.7334383,0.15597427
SRR5650124,0.8874406,0.0008483529,0.0005296767,0.015458226,0.09572315
SRR6724447,0.08001708,0.87105155,0.045286134,0.0036452678,0.0
SRR6265608,0.007900357,0.0009712279,0.0008531809,0.00276649,0.9875088
SRR2142222,0.9525782,0.00903064,0.00068846345,0.009272188,0.028430462
SRR5602166,0.022402495,0.008715868,0.006286055,0.0017165542,0.960879
SRR6264257,0.008428603,0.00092440844,0.0010458827,0.0031591952,0.9864419
SRR5761788,0.007494986,0.0007852912,0.0007852912,0.0027410686,0.9881934
SRR5202859,0.0074725747,0.0007927418,0.0007916391,0.0027403831,0.9882027
SRR064851,0.88384247,0.023846716,0.00060519576,0.026607275,0.065098286
SRR5020859,0.007335007,0.0007914603,0.0008930862,0.0029686093,0.98801184
SRR5649000,0.017070591,0.0015004873,0.0030210316,0.011994749,0.96641314
ERR719169,0.0630362,0.00053441525,0.0007085204,0.011265039,0.9244558
SRR2142183,0.018130153,0.0007790327,0.0009184778,0.0037741065,0.9763982
ERR525848,0.0073381066,0.00075900555,0.000865072,0.003015697,0.9880221
SRR6264535,0.020884633,0.00096967816,0.00071170926,0.0052336454,0.97220033
SRR5610055,0.016078979,0.0019385517,0.0012844503,0.004706055,0.97599196
SRR7423286,0.032370746,0.004929334,0.0015522242,0.0019115508,0.95923615
SRR5431383,0.0073177814,0.0006994903,0.0007520616,0.0027647316,0.9884659
SRR5078669,0.0073135197,0.0007003546,0.00075417757,0.0027691424,0.9884628
SRR5396504,0.007278055,0.00070020556,0.00076547265,0.0027968884,0.98845935
SRR5429191,0.012941688,0.028711945,0.011813462,0.0021642447,0.94436866
SRR5396459,0.0383569,0.0017544031,0.00062680244,0.0039477646,0.95531416
SRR6724528,0.069307916,0.89784324,0.027446425,0.005402417,0.0
SRR5429149,0.010876486,0.027245887,0.91089153,0.050986078,0.0
SRR6331089,0.009372801,0.0015288591,0.001588434,0.0038373768,0.9836725
SRR5203177,0.0073209703,0.0007044673,0.000754565,0.0027668178,0.98845315
SRR6424592,0.0078053772,0.0008110404,0.00079110265,0.0028145611,0.98777795
ERR209534,0.05865249,0.014177054,0.0068202913,0.0012708008,0.91907936
SRR7507659,0.023439795,0.003937155,0.0015031099,0.0021716356,0.9689483
ERR209196,0.010444075,0.0015315413,0.0009214282,0.0025421083,0.98456085
ERR719870,0.012611091,0.000780344,0.0007583499,0.0037369728,0.98211324
SRR5610059,0.008713126,0.0009847283,0.00086560845,0.0028912127,0.9865453
SRR1687098,0.9449867,0.017530084,0.0008774102,0.01185742,0.024748445
SRR5648873,0.011988461,0.0009672642,0.0010365844,0.0036538243,0.98235387
ERR011266,0.025181413,0.0008660257,0.0009841621,0.00575009,0.9672183
SRR5758155,0.029250665,0.00017805472,0.023138963,0.94743234,0.0
SRR6185216,0.023534656,0.0007954538,0.00043851137,0.004561305,0.9706701
ERR718994,0.007618457,0.00081831217,0.000797987,0.0027954578,0.98796976
SRR5580530,0.24169394,0.0005903542,0.00063589215,0.020183623,0.73689616
SRR6182460,0.04706478,0.00047913194,0.00032871962,0.0069548488,0.94517255
SRR5429223,0.013744422,0.031086212,0.90889424,0.046275098,0.0
ERR719422,0.014852941,0.0024923384,0.0010183454,0.0025078356,0.97912854
ERR1809146,0.00880304,0.002082318,0.0013059676,0.0027959645,0.9850127
