,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5429074,0.032184154,0.028724074,0.007713765,0.931378
SRR5757792,0.12929985,0.09076369,0.77993643,0.0
SRR5649194,0.032187283,0.028718144,0.0077162683,0.9313783
SRR5866548,0.03216791,0.028802902,0.0077299178,0.93129927
SRR5548407,0.032180756,0.028911531,0.0077263415,0.9311814
ERR719745,0.032150894,0.028956294,0.007768452,0.9311243
ERR209144,0.14712238,0.3502903,0.011789501,0.49079782
SRR6724482,0.032624066,0.029994637,0.0077694356,0.92961186
SRR6182339,0.03218183,0.028735906,0.0077207386,0.93136156
SRR5343189,0.032184094,0.028717577,0.007713288,0.93138504
SRR5203200,0.03224197,0.028755307,0.0077337027,0.93126905
SRR6264298,0.032181203,0.028715342,0.007712513,0.93139094
SRR5548659,0.08495104,0.7691924,0.04255429,0.10330224
SRR5078926,0.032181203,0.028715342,0.007712513,0.93139094
ERR525894,0.031661212,0.038429797,0.008694708,0.9212143
SRR961857,0.032180995,0.02871573,0.0077126026,0.93139064
SRR5548092,0.07917279,0.7593353,0.04011467,0.12137723
SRR6182392,0.032181203,0.028715342,0.007712513,0.93139094
ERR719117,0.031788647,0.030875564,0.008030891,0.9293049
SRR5947883,0.027526379,0.20031923,0.018737435,0.75341696
SRR5602136,0.032181233,0.028715432,0.007712573,0.93139076
SRR5578996,0.11839077,0.45090187,0.015808582,0.41489875
SRR5947849,0.07101619,0.6752529,0.036547333,0.21718359
ERR209839,0.046941966,0.36921933,0.023774356,0.5600643
SRR5578973,0.035178244,0.03174436,0.011105329,0.92197204
SRR5078736,0.0782502,0.75810254,0.03997737,0.12366992
SRR6928785,0.03218603,0.028718024,0.0077145398,0.9313814
SRR5078791,0.032180995,0.0287157,0.0077126026,0.9313907
ERR720181,0.0322074,0.028761238,0.007730305,0.93130106
ERR719436,0.032534838,0.029675305,0.007775575,0.93001425
SRR5203186,0.03220427,0.028727114,0.0077243447,0.9313443
SRR5548788,0.078881055,0.7593633,0.040067613,0.12168807
SRR1008937,0.07880786,0.75923884,0.040037483,0.12191582
SRR5091535,0.031976312,0.029854178,0.007932901,0.9302366
SRR6474236,0.03175655,0.032954067,0.008373439,0.92691594
SRR5079179,0.0321835,0.028716952,0.007712811,0.9313867
SRR5649165,0.03218183,0.02871567,0.0077129304,0.9313896
SRR5203201,0.03218153,0.028715521,0.0077127814,0.93139017
SRR5020903,0.102448575,0.13315035,0.7644011,0.0
SRR5796726,0.11744049,0.08676481,0.01018694,0.78560776
ERR719018,0.032612443,0.029027075,0.007885754,0.93047476
ERR719409,0.03253463,0.029252648,0.0077435076,0.9304692
ERR720020,0.032180995,0.028827101,0.0077370107,0.93125486
SRR5580477,0.032196254,0.028746039,0.00772354,0.93133414
SRR7507601,0.032434076,0.029221952,0.0077947974,0.93054914
SRR5983350,0.032175303,0.032491952,0.0082760155,0.9270567
SRR5578992,0.03230703,0.028805643,0.007720679,0.93116665
SRR6264224,0.0322285,0.02874732,0.00772205,0.93130213
SRR5429334,0.04628545,0.03989142,0.03712955,0.8766936
ERR011318,0.03221947,0.028921545,0.007771075,0.9310879
SRR6182448,0.03336212,0.031701595,0.010867953,0.92406833
ERR209444,0.030464858,0.03377959,0.008600831,0.9271547
ERR719389,0.032191634,0.02874124,0.0077209473,0.9313462
SRR5651453,0.04003015,0.520902,0.030330807,0.40873706
SRR5343056,0.032181203,0.028715342,0.007712513,0.93139094
ERR719232,0.030520797,0.035431743,0.008727968,0.9253195
SRR1185481,0.17631361,0.049409688,0.7742767,0.0
SRR5548586,0.07881045,0.7592157,0.040047705,0.12192613
SRR5079139,0.015768468,0.13831165,0.02681455,0.8191053
ERR209675,0.077365756,0.75351083,0.039725393,0.12939799
SRR5203163,0.032200605,0.028724998,0.007724613,0.93134975
SRR5803647,0.03222978,0.029111296,0.0077831745,0.9308758
SRR5431376,0.032186776,0.028719157,0.007713437,0.9313806
SRR5601983,0.032533646,0.028969258,0.007849067,0.930648
SRR5649133,0.032373548,0.02883321,0.007772237,0.931021
SRR5078691,0.032181203,0.028715342,0.007712513,0.93139094
SRR5761684,0.032197863,0.028725356,0.0077183545,0.93135846
SRR6265130,0.032181174,0.028715402,0.007712573,0.9313909
SRR6724564,0.032502174,0.02911675,0.007733166,0.9306479
ERR011153,0.02849704,0.4956433,0.031499594,0.44436002
ERR719663,0.032402486,0.030134916,0.0078884065,0.9295742
SRR5078819,0.032181203,0.028715342,0.007712513,0.93139094
ERR209743,0.03245437,0.0637255,0.010458142,0.893362
ERR525772,0.039920658,0.05219102,0.009065121,0.8988232
SRR5983396,0.03017211,0.3370951,0.0316678,0.601065
SRR5761739,0.13066411,0.2084949,0.010990411,0.6498506
SRR6251516,0.03668657,0.05767247,0.009376943,0.896264
ERR505091,0.045210063,0.1164425,0.012026578,0.8263209
SRR5203256,0.032181203,0.028715342,0.007712513,0.93139094
SRR935737,0.13687491,0.18684736,0.010438889,0.66583884
SRR6331150,0.032176703,0.029443443,0.0077854097,0.93059444
SRR5983474,0.024905652,0.17536363,0.01908362,0.7806471
SRR5078767,0.032181203,0.028715342,0.007712513,0.93139094
